Model,Description,Harga_MD,Harga_IPP,Harga_SDP,Harga_ADP,Harga_DPP,Harga_MSRP,Harga_Non_DPP,Category,Sumber,Warranty,Brand
DS-D5022F2-1P2,"21.5'', IPS,HDMI/VGA input, Audio output, 100Hz, Brightness 250nits, Contrast ratio 1000:1, Response time 6.5ms.",1310700,1310700,1310700,1310700,1310700,1999500,1532000,Monitor,Hikvision Monitor,2 Years Warranty,Hikvision
DS-D5022F2-1V2S,"21.5'', VA,HDMI/VGA input, Audio Input, 100Hz, Speaker included, Brightness 250nits, Contrast ratio 1000:1, Response time 6.5ms.",1206800,1206800,1206800,1206800,1206800,1840900,1410500,Monitor,Hikvision Monitor,2 Years Warranty,Hikvision
DS-D5024F2-AV2(EU),"23.8"" 1080P, HDMI/VGA input,VA technology, view angle:178°/178°, 7ms Response Time, 100Hz refresh rate, 12V DC,7*16h",1429500,1429500,1429500,1429500,1429500,2180600,1670900,Monitor,Hikvision Monitor,2 Years Warranty,Hikvision
DS-D5024F2-BV2S(EU),"23.8"" 1080P, HDMI/VGA input,build in speaker,VA technology, view angle:178°/178°, 7ms Response Time, 100Hz refresh rate, 12V DC,7*24h",1555700,1555700,1555700,1555700,1555700,2373100,1818300,Monitor,Hikvision Monitor,2 Years Warranty,Hikvision
DS-2FA1225-C4,,165000,165000,165000,165000,165000,259800,194800,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-2FA1205-C8,,201700,201700,201700,201700,201700,317500,238100,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS600,,586700,586700,586700,586700,586700,997400,744300,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS1000,,733300,733300,733300,733300,733300,1246700,930400,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS2000,,2108400,2108400,2108400,2108400,2108400,3584400,2674900,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS3000,,3391800,3391800,3391800,3391800,3391800,5766200,4303100,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS600-R(O-STD)/EU/Uni,,660100,660100,660100,660100,660100,1122200,837400,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS1000-R(O-STD)/EU/Uni,,843400,843400,843400,843400,843400,1433800,1070000,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS1200-R(O-STD)/EU/Uni,,1356800,1356800,1356800,1356800,1356800,2306500,1721300,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS2000-R(O-STD)/EU/Uni,,2236800,2236800,2236800,2236800,2236800,3802600,2837700,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS3000-R(O-STD)/EU/Uni,,3593600,3593600,3593600,3593600,3593600,6109200,4559100,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS600-R(O-STD)/EU,,678400,678400,678400,678400,678400,1153200,860600,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS1000-R(O-STD)/EU,,880100,880100,880100,880100,880100,1496200,1116600,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS1200-R(O-STD)/EU,,1411700,1411700,1411700,1411700,1411700,2400000,1791000,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS2000-R(O-STD)/EU,,2310200,2310200,2310200,2310200,2310200,3927400,2930800,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS3000-R(O-STD)/EU,,3703600,3703600,3703600,3703600,3703600,6296100,4698600,UPS&SPU,Hikvision UPS&SPU,2 Years Warranty,Hikvision
DS-UPS01K24-R/TJS,,5528250,5528250,5528250,5528250,5528250,11056500,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPS02K48-R/TJS,,8201250,8201250,8201250,8201250,8201250,16402500,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPS03K72-R/TJS,,10100700,10100700,10100700,10100700,10100700,20201400,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPS06K-R/TJL,,20318850,20318850,20318850,20318850,20318850,40637700,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPS10K-R/TJL,,24709050,24709050,24709050,24709050,24709050,49418100,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPSB09192A-R/TJ,,19885500,19885500,19885500,19885500,19885500,39771000,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-UPSB09240A-R/TJ,,23542650,23542650,23542650,23542650,23542650,47085300,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
R Series UPS Rack Slide 4-post,,1053000,1053000,1053000,1053000,1053000,2106000,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
R Series UPS SNMP Card,,1782000,1782000,1782000,1782000,1782000,3564000,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
R Series UPS MAS4 Card,,810000,810000,810000,810000,810000,1620000,,Online UPS,Hikvision Online UPS,2 Years Warranty,Hikvision
DS-3WAP522-SI,"1200 Mbps Dual-band Wi-Fi 5 Gigabit ceiling mount indoor AP, 2x2 MIMO, 1 Gigabit port with PoE in, Max/Recommend user access is 256/80, HPP/HC unified",918925,918925,918925,918925,918925,1010817,1010817,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WAP622G-SI,"1800 Mbps Dual-band Wi-Fi 6 Gigabit ceiling mount indoor AP, 2x2 MIMO, 1 Gigabit port with PoE in, Max/Recommend user access is 256/100, HPP/HC unifie",1403784,1403784,1403784,1403784,1403784,1544162,1544162,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WAP622E-SI,"3000 Mbps Dual-band Wi-Fi 6 Gigabit ceiling mount indoor AP, 2x2 MIMO, 1 2.5G Multi-Giga port with PoE in, Max/Recommend user access is 256/100, HPP/H",2538703,2538703,2538703,2538703,2538703,4569666,3046444,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WAP521-SI,"1200 Mbps Dual-band Wi-Fi 5 Gigabit in-Wall indoor AP, 2x2 MIMO, 2 Gigabit port with 1 PoE in, Max/Recommend user access is 128/50, HPP/HC unified clo",787667,787667,787667,787667,787667,866434,866434,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WAP621E-SI,"3000 Mbps Dual-band Wi-Fi 6 Gigabit in-Wall indoor AP, 2x2 MIMO, 2 Gigabit port with 1 PoE in, Max/Recommend user access is 256/70, HPP/HC unified clo",1207813,1207813,1207813,1207813,1207813,2174064,1449376,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WAP623E-SI,"3000 Mbps Dual-band Wi-Fi 6 Gigabit outdoor AP, 2x2 MIMO, 1 Gigabit port with PoE in, IP68, Max/Recommend user access is 256/100, HPP/HC unified cloud",2858977,2858977,2858977,2858977,2858977,5146159,3430772,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WG105G-SI,"Concurrent Users 100, Up to 4 WAN Loadbalancing, 2 Gigabit WAN Ports with 1 WAN/LAN Switchable, 3 Gigabit LAN Ports with 2 LAN/WAN Switchable, 32 APs,",1048717,1048717,1048717,1048717,1048717,1153589,1153589,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WG105GP-SI,"Concurrent Users 100, Up to 2 WAN Loadbalancing,  1 Gigabit WAN Port, 4 Gigabit PoE LAN Ports with 1 LAN/WAN Switchable, 32 APs, 58w, IPSec throughput",1369174,1369174,1369174,1369174,1369174,2464513,1643009,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WG210GP-SI,"Concurrent Users 200, Up to 4 WAN Loadbalancing, 2 Gigabit WAN Ports with 1 WAN/LAN Switchable, 8 Gigabit PoE LAN Ports with 2 LAN/WAN Switchable, 200",1966576,1966576,1966576,1966576,1966576,3539837,2359891,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WG507G-SI,"Concurrent Users 500, Up to 6 WAN Loadbalancing, 1 Gigabit RJ45/SFP Optional Combo WAN Port, 1 Gigabit RJ45 WAN Port WAN/LAN Switchable, 1 Gigabit SFP",2728519,2728519,2728519,2728519,2728519,4911334,3274222,Access Point,Hikvision Access Point,2 Years Warranty,Hikvision
DS-3WR3N,"11n 300M WiFi4 wireless router, 2.4GHz 300Mbps, 3 × 100 Mbps LAN ports, 1 × 100 Mbps WAN port, 2 × 5-dBi antennas, Hik-Connect App",228900,228900,228900,228900,228900,274600,257500,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR12C,"AC1200M Dual-band WiFi5 wireless router, 5GHz: 867Mbps + 2.4GHz 300Mbps, 3 × 100 Mbps LAN ports, 1 × 100 Mbps WAN port, 4 × 5-dBi antennas, Hik-Connec",355900,355900,355900,355900,355900,427100,400400,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR12GC,"AC1200M Dual-band WiFi5 wireless router, 5GHz: 867Mbps + 2.4GHz 300Mbps, 3 × Gigabit LAN ports, 1 × Gigabit WAN port, 4 × 5-dBi antennas, Hik-Connect ",457500,457500,457500,457500,457500,549000,514700,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR4G12C,"4G LTE Wi-Fi Router, Max 4G speed: DL:150Mbps; UL:50Mbps Wi-Fi speed: 2.4GHz:300Mbps ; 5GHz:867Mbps 4G Cartgory LTE CAT.4 Support FDD LTE,TDD-LTE,WCDM",900400,900400,900400,900400,900400,1080500,1013000,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR15X,"AX1500M Dual-band WiFi 6 wireless router, 5GHz: 1201Mbps + 2.4GHz 300Mbps, 3 × 1000 Mbps LAN ports, 1 × 1000 Mbps WAN port, 4 × high gain antennas, Hi",689800,689800,689800,689800,689800,827700,776000,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR4G3N,"4G LTE Wi-Fi Router, Max 4G speed: DL:150Mbps; UL:50Mbps Wi-Fi speed: 2.4GHz:300Mbps 4G Cartgory LTE CAT.4 Support FDD LTE,TDD-LTE,WCDMA",671600,671600,671600,671600,671600,806000,755600,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR12C-H,"AC1200M Dual-band WiFi5 wireless router, 5GHz: 867Mbps + 2.4GHz 300Mbps, 3 × 100 Mbps LAN ports, 1 × 100 Mbps WAN port, 4 × 5-dBi antennas，Hik-Connect",572700,572700,572700,572700,572700,687300,644300,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-3WR12GC-H,"AC1200M Dual-band WiFi5 wireless router, 5GHz: 867Mbps + 2.4GHz 300Mbps, 3 × Gigabit LAN ports, 1 × Gigabit WAN port, 4 × 5-dBi antennas，Hik-Connect, ",627200,627200,627200,627200,627200,752700,705600,Wifi Home Router,Hikvision Wifi Home Router,2 Years Warranty,Hikvision
DS-QAE0203G1-V,"3W speakers，100V, Max SPL:95 dB, Frequency Response:90 Hz~20 kHz",148500,148500,148500,148500,148500,225000,175500,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0203G1E-V,"Entry level 3W speakers，Max SPL:95 dB, Frequency Response:90 Hz~20 kHz",137200,137200,137200,137200,137200,207879,162145,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0206G1-V,"6W speakers，Max SPL:98 dB, Frequency Response:90 Hz~20 kHz",160000,160000,160000,160000,160000,242424,189091,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0206G1E-V,"Entry level 6W speakers，Max SPL:98 dB, Frequency Response:90 Hz~20 kHz",156200,156200,156200,156200,156200,236667,184600,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0420G1-V,"20W speakers, Max SPL:96 dB, Frequency Response:100 Hz~20 kHz",853700,853700,853700,853700,853700,1293485,1008918,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0120G1R,"Rated Power: 70 V:  5 W/10 W/1 5W/20 W , 100 V:  5 W/10 W/15 W/20 W;Max SPL:103 dB;Frequency Response:130 Hz to 17.5 kHz;Support horizontal and vertic",689800,689800,689800,689800,689800,1045152,815218,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0120G1R/BLACK,"Rated Power: 70 V:  5 W/10 W/1 5W/20 W , 100 V:  5 W/10 W/15 W/20 W;Max SPL:103 dB;Frequency Response:130 Hz to 17.5 kHz;Support horizontal and vertic",689800,689800,689800,689800,689800,1045152,815218,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0330G1T-V,"Analog Passive Horn Speaker 30W, Max SPL: 120 dB, Frequency Response: 250 Hz-8 kHz; Multiple power levels are optional;  IP65",419000,419000,419000,419000,419000,634848,495182,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0610G1,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;  89dB Nominal Sensitivity;  98dB@1m Rated Maximum SPL;  120Hz~20kHz(-10dB)  bandwidth;,775900,775900,775900,775900,775900,1175606,916973,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0610G1/BLACK,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;  89dB Nominal Sensitivity;  98dB@1m Rated Maximum SPL;  120Hz~20kHz(-10dB)  bandwidth;,775900,775900,775900,775900,775900,1175606,916973,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0630G1,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;  92dB Nominal Sensitivity;  104dB@1m Rated Maximum SPL;  80Hz~20kHz(-10dB)  bandwidth;,1165800,1165800,1165800,1165800,1165800,1766364,1377764,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0630G1/BLACK,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;  92dB Nominal Sensitivity;  104dB@1m Rated Maximum SPL;  80Hz~20kHz(-10dB)  bandwidth;,1165800,1165800,1165800,1165800,1165800,1766364,1377764,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0510G1,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;_x000D_  89dB Nominal Sensitivity;_x000D_  98dB@1m Rated Maximum SPL;_x000D_  120Hz~20kHz(-10dB)  bandwidt,826900,826900,826900,826900,826900,1252879,977245,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0510G1/BLACK,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;_x000D_  89dB Nominal Sensitivity;_x000D_  98dB@1m Rated Maximum SPL;_x000D_  120Hz~20kHz(-10dB)  bandwidt,826900,826900,826900,826900,826900,1252879,977245,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0530G1,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;_x000D_  92dB Nominal Sensitivity;_x000D_  104dB@1m Rated Maximum SPL;_x000D_  80Hz~20kHz(-10dB)  bandwidt,1249500,1249500,1249500,1249500,1249500,1893182,1476682,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ0530G1/BLACK,1* 1.0-inch tweeter and 1* 6.5-inch woofer ;_x000D_  92dB Nominal Sensitivity;_x000D_  104dB@1m Rated Maximum SPL;_x000D_  80Hz~20kHz(-10dB)  bandwidt,1249500,1249500,1249500,1249500,1249500,1893182,1476682,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0A60G1-VB,"60W constant resistance/constant voltage amplifier; Support four types of audio input: Bluetooth, USB flash drive, microphone, and RCA; Support indepe",1756000,1756000,1756000,1756000,1756000,2660606,2075273,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE1A80G1-VB,"80W constant resistance/constant voltage Network amplifier; Support four types of audio input: Bluetooth, USB flash drive, microphone, and RCA; Suppor",2009400,2009400,2009400,2009400,2009400,3044545,2374745,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ1A500G1-VB2/EU,"500W 2-zones IP amplifier · Supports real-time and scheduled tasks, resume play, and audio material library management · Support alarm input, arming s",7397900,7397900,7397900,7397900,7397900,11208939,8742973,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ1A1000G1-VB4/EU,"1000W 4-zones IP amplifier · Supports real-time and scheduled tasks, resume play, and audio material library management · Support alarm input, arming ",10879200,10879200,10879200,10879200,10879200,16483636,12857236,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0A120G1-VB6/EU,"120W, 6-zones Analog Amplifier;2-AUX in, 2-MIC in, 1-EMC in, 1-RCA out",2627200,2627200,2627200,2627200,2627200,3980606,3104873,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAE0A240G1-VB6/EU,"240W, 6-zones Analog Amplifier;2-AUX in, 2-MIC in, 1-EMC in, 1-RCA out",3675300,3675300,3675300,3675300,3675300,5568636,4343536,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-QAZ1MP7G1/EU,"7-inch color IPS touch screen, resolution: 1024 × 600 Support real-time broadcasting, speaking, or playing media library files on specified partitions",3060000,3060000,3060000,3060000,3060000,4636364,3616364,Analog Speaker,Hikvision Analog Speaker,2 Years Warranty,Hikvision
DS-TMG320-ML/B(Barrier Body),"Leftward, with barrier body indicator Built-in 1*octagonal chuck, 1*spring, 2*remote controllers and other accessories",6945750,6945750,6945750,6945750,6945750,10685769,8014327,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG320-MR/B(Barrier Body),"Rightward, with barrier body indicator Built-in 1*octagonal chuck, 1*spring, 2*remote controllers and other accessories",6945750,6945750,6945750,6945750,6945750,10685769,8014327,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG001-3D(3m octagonal),3m octagonal straight pole,884520,884520,884520,884520,884520,1360800,1020600,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG102,"Anti-collision octagonal boom pole chuck adapter for 32X series barrier gate, 1PCS fit for straight/telescopic/light boom pole no more than 4m length ",571590,571590,571590,571590,571590,879369,659527,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG001-3D(2.6-4m),Octagonal telescopic pole (2.6-4m),1190700,1190700,1190700,1190700,1190700,1831846,1373885,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG001-3D(3.6-6m),Octagonal telescopic pole (3.6-6m),1496880,1496880,1496880,1496880,1496880,2302892,1727169,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
Integrated gate 4-Spring components 2,Φ5 spring Dimension:  475 × 34 × 34 mm,152685,152685,152685,152685,152685,234900,176175,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
EEBracket-L800-950(barrier),"Bracket for barrier gate tail end, suitable for 5m/6m barrier.",524610,524610,524610,524610,524610,807092,605319,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-6L(3m)(1.4mm),3m light pole with 1.4mm reinforced wall thickness,1718010,1718010,1718010,1718010,1718010,2643092,1982319,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG001-6L(4m)(1.4mm),4m light pole with 1.4mm reinforced wall thickness,2102625,2102625,2102625,2102625,2102625,3234808,2426106,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG002-6(2+2m)(1.4mm),2m+2m folding light pole with 1.4mm reinforced wall thickness,2929500,2929500,2929500,2929500,2929500,4506923,3380192,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG002-6L(1.5+1.5m)(1.4mm),1.5m+1.5m folding light pole with 1.4mm reinforced wall thickness,2551500,2551500,2551500,2551500,2551500,3925385,2944038,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG002-6L(2+2m)(1.4mm),2m+2m folding light pole with 1.4mm reinforced wall thickness,2929500,2929500,2929500,2929500,2929500,4506923,3380192,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG012-A1,"Remote control for barrier gate(batteries) Battery specification: 23A,12V  Dimension: 80 x 40 x 16 mm Weight: 0.03kg",137025,137025,137025,137025,137025,210808,158106,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
TMG080-3,Manual control box for barrier gate,375840,375840,375840,375840,375840,578215,433662,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG040,"Adaptable battery specifications: Only the control board is included in the barrier gare battery box, customers need to buy the battery separately.  1",724275,724275,724275,724275,724275,1114269,835702,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TVL221-1-6D,Red light/green light switchable mode to show the status of barrier gate,2932335,2932335,2932335,2932335,2932335,4511285,3383463,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG100-32,"Octagonal boom pole chuck for 32X series barrier gate, 1PCS",505035,505035,505035,505035,505035,776977,582733,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG131-32,10PCS spring of 32X series barrier gate (material code 190616532),1526850,1526850,1526850,1526850,1526850,2349000,1761750,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG060-32,Emergency barrier-lifting module for 32 series barrier,587250,587250,587250,587250,587250,903462,677596,32 Series Barrier,Hikvision 32 Series Barrier,2 Years Warranty,Hikvision
DS-TMG300,"Motor: DC brushless motor Barrier Boom: 3m light pole, left direction Rising Speed: 3 S Falling Speed: 3 S MCBF: 2,500,000 Power Supply: 24 VDC Protec",9123124,9123124,9123124,9123124,9123124,14035576,10526682,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
DS-TMG022,"Including 2 inputs of inductive loops Recognizes vehicles of more than two wheels Fastest Response Time: 3.5ms Output Port: 2 relay output, VDRM 70 V,",1045958,1045958,1045958,1045958,1045958,1821409,1092845,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
DS-TMG023,"50m,FVN49/0.26 Working Temperature: -60 °C to 105 °C Length: 50 m",534398,534398,534398,534398,534398,930589,558353,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
DS-TMG035,"Transmitting frequency: 79GHz Working mode: Trigger Radar Beam width: Vertical 10°, Horizontal 38°, relay output Trigger distance: 0.3 to 6m (adjustab",3120059,3120059,3120059,3120059,3120059,5433207,3259924,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
L1500-X800-R125(TCGX06),Pole for LPR camera unit TCGX06 Color: Platinum brown Length: 1.5m Diameter: 60mm Material: Carbon Steel Q235,1640189,1640189,1640189,1640189,1640189,2856192,1713715,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
DS-TCG406-E,"ANPR Camera: 4MP, 2688 × 1520, CMOS,1/1.8"", 25fps, 2.8-12mm and 8-32mm motorized lens Supplement Light: Embedded 2 LED lights(integrated white light a",9508165,9508165,9508165,9508165,9508165,16557321,9934393,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
DS-TMC200,"ANPR kit, including ANPR camera, LED display and external supplement light default white light mode, (I): IR model Capture and display are integrated:",10962000,10962000,10962000,10962000,10962000,19089000,11453400,30 series Barrier,Hikvision 30 series Barrier,2 Years Warranty,Hikvision
TMG001-3(3m octagonal),3m octagonal boom pole,1131435,1131435,1131435,1131435,1131435,1740669,1305502,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-3(4m octagonal),4m octagonal boom pole,1522935,1522935,1522935,1522935,1522935,2342977,1757233,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-3(6m octagonal),6m octagonal boom pole,1914435,1914435,1914435,1914435,1914435,2945285,2208963,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG011-3(octagonal chuck),Octagonal pole chuck,387585,387585,387585,387585,387585,596285,447213,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG021-3(octagonal bag),"Pole handle cover, Pole handle gasket, 2 M3*8 Cross recessed countersunk head screw (SUS304), 4 M8*65 Hexagon socket head screw (stainless steel 304),",270135,270135,270135,270135,270135,415592,311694,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG001-3(2.5-4.5m),Octagonal telescopic pole (2.5-4.5m),1522935,1522935,1522935,1522935,1522935,2342977,1757233,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG001-3(3.4-6m),Octagonal telescopic pole (3.4-6m),1914435,1914435,1914435,1914435,1914435,2945285,2208963,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG021-3(octagonal telescopic bag),"Pole handle cover, 2 M8*65 external hexagon head screw (stainless steel 304), 2 M8 Anti-loosening nut, 2 Φ8 Flat washer (SUS304)",270135,270135,270135,270135,270135,415592,311694,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-3(3m/24V light),3m boom pole with strip light,2200230,2200230,2200230,2200230,2200230,3384969,2538727,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-3(4m/24V light),4m boom pole with strip light,2579985,2579985,2579985,2579985,2579985,3969208,2976906,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
DS-TMG001-3(6m/24V light),6m boom pole with strip light,3284685,3284685,3284685,3284685,3284685,5053362,3790021,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG011-3(strip light pole chuck),Strip light pole chuck,387585,387585,387585,387585,387585,596285,447213,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG021-3(strip light pole bag),"Rod Handle Protective Shield Cap, Pole handle cover (light pole), Pole handle gasket, 2 M8*70 external hexagon head screw(stainless steel 304), 2 M3*8",270135,270135,270135,270135,270135,415592,311694,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG002-3(1.5+1.5m),1.5+1.5 m folding boom pole,1663875,1663875,1663875,1663875,1663875,2559808,1919856,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG002-3(2+2m),2+2 m folding boom pole,1820475,1820475,1820475,1820475,1820475,2800731,2100548,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG002-3(2.5+2.5m),2.5+2.5 m folding boom pole,1992735,1992735,1992735,1992735,1992735,3065746,2299310,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
TMG001-3(2.5-4.5m anti-octagonal),Anti-collision octagonal telescopic pole (2.5-4.5m),1522935,1522935,1522935,1522935,1522935,2342977,1757233,30 Barrier Spare part,Hikvision 30 Barrier Spare part,2 Years Warranty,Hikvision
